                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2057,                 2.8034,                 1.6499,                0.00333,                      1,                  0.995,                 0.7756,                0.74758,                 2.7488,                 1.2304,                0.00014,                0.00014,                0.00014
                      2,                0.74632,                 2.1381,                 1.2962,                0.00333,                      1,                  0.995,                0.64937,                0.82824,                  2.706,                 1.3145,              0.0002703,              0.0002703,              0.0002703
                      3,                0.85461,                 1.4925,                 1.3177,                 0.2578,                      1,                  0.995,                0.80467,                0.77321,                 2.3047,                 1.1802,             0.00036892,             0.00036892,             0.00036892
                      4,                0.76888,                 1.5811,                 1.2536,                0.81144,                0.86863,                0.96167,                0.74064,                0.75778,                 2.1553,                 1.2113,             0.00043586,             0.00043586,             0.00043586
                      5,                0.76084,                 1.2565,                 1.1388,                0.85866,                    0.8,                0.93786,                0.63936,                 0.9504,                 2.1612,                 1.4831,             0.00047112,             0.00047112,             0.00047112
                      6,                0.87176,                  1.419,                 1.3272,                0.89833,                    0.8,                0.93786,                0.61249,                 1.0187,                 2.2154,                 1.5927,              0.0004747,              0.0004747,              0.0004747
                      7,                0.86469,                 1.3169,                 1.3259,                      1,                0.89245,                  0.995,                0.65797,                 1.1496,                 2.1406,                 1.8868,              0.0004466,              0.0004466,              0.0004466
                      8,                0.82094,                 1.3023,                  1.333,                      1,                0.97199,                  0.995,                0.56753,                 1.1834,                 2.1019,                 1.9155,             0.00038682,             0.00038682,             0.00038682
                      9,                0.76848,                 1.2442,                 1.1613,                0.94236,                      1,                  0.995,                0.58369,                 1.2371,                 2.0608,                 1.9523,             0.00029536,             0.00029536,             0.00029536
                     10,                0.70691,                 1.1517,                 1.1547,                0.94236,                      1,                  0.995,                0.58369,                 1.2371,                 2.0608,                 1.9523,             0.00017222,             0.00017222,             0.00017222
