                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0005,                 2.0378,                 1.2806,                0.91109,                0.87755,                0.92203,                0.64575,                0.94065,                 1.5255,                 1.2403,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.0239,                 1.5373,                  1.288,                0.84306,                0.79592,                0.87027,                0.50509,                 1.3072,                 1.7925,                 1.5078,              0.0011867,              0.0011867,              0.0011867
                      3,                 1.0994,                 1.4602,                 1.3221,                0.65339,                 0.4898,                0.58034,                0.27364,                 1.7364,                  2.201,                 1.8753,               0.001591,               0.001591,               0.001591
                      4,                 1.1745,                 1.5501,                 1.3402,                0.47737,                0.52204,                0.53125,                0.25707,                 1.6133,                 3.1722,                 1.8621,               0.001406,               0.001406,               0.001406
                      5,                 1.1736,                 1.5441,                  1.363,                 0.8761,                0.72163,                0.86045,                0.55812,                 1.0822,                 1.7965,                 1.3861,               0.001208,               0.001208,               0.001208
                      6,                 1.0584,                 1.3763,                 1.2784,                0.87301,                0.87755,                0.92929,                0.62982,                  1.136,                 1.1628,                 1.3043,                0.00101,                0.00101,                0.00101
                      7,                0.94514,                 1.2567,                 1.1774,                0.91444,                0.87755,                0.94601,                0.69738,                 1.0281,                 1.0486,                 1.2272,               0.000812,               0.000812,               0.000812
                      8,                0.88602,                 1.1347,                 1.1451,                0.90786,                0.93878,                0.97004,                0.75095,                0.87944,                0.97983,                 1.0918,               0.000614,               0.000614,               0.000614
                      9,                0.89509,                 1.0835,                 1.1361,                0.92028,                0.97959,                0.97594,                0.75115,                0.86983,                0.98483,                 1.0863,               0.000416,               0.000416,               0.000416
                     10,                0.81598,                 1.0664,                  1.082,                0.91897,                0.97959,                  0.969,                0.74365,                0.85957,                0.90797,                 1.0944,               0.000218,               0.000218,               0.000218
