                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1374,                 2.5313,                 1.3588,                0.00325,                      1,                0.95476,                0.73805,                0.61995,                  2.437,                 1.0318,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0032,                 1.4278,                  1.248,                0.91665,                0.88889,                0.95565,                0.73159,                0.85415,                  1.714,                 1.1825,             0.00041861,             0.00041861,             0.00041861
                      3,                 1.0078,                 1.2588,                 1.2418,                0.80604,                0.82092,                 0.9024,                0.58858,                 1.1202,                 1.8849,                 1.5269,             0.00063578,             0.00063578,             0.00063578
                      4,                 1.0139,                 1.0924,                 1.2144,                0.79299,                0.85185,                0.88283,                0.47285,                 1.4575,                 1.6573,                 2.1414,             0.00085149,             0.00085149,             0.00085149
                      5,                 1.1084,                 1.1196,                 1.2729,                0.88779,                 0.6838,                0.84421,                0.43679,                 1.6085,                 1.6193,                 1.9206,              0.0010657,              0.0010657,              0.0010657
                      6,                  1.046,                 1.0114,                 1.2445,                0.74213,                0.74617,                0.81136,                0.52021,                 1.1879,                 1.6092,                 1.5153,              0.0012786,              0.0012786,              0.0012786
                      7,                 1.0049,                0.96403,                    1.2,                0.86713,                0.87654,                 0.9159,                0.60698,                  1.141,                 1.2164,                 1.5046,              0.0014899,              0.0014899,              0.0014899
                      8,                   1.09,                0.97724,                 1.2804,                0.47097,                 0.4321,                0.40032,                0.17619,                 2.1876,                 4.5037,                 2.7102,              0.0016998,              0.0016998,              0.0016998
                      9,                 1.0762,                0.96131,                 1.2367,                0.17449,                0.28395,                0.11237,                0.03829,                 2.8559,                 3.9798,                 3.6488,              0.0019083,              0.0019083,              0.0019083
                     10,                 1.1013,                0.92973,                 1.2617,                0.63954,                0.66667,                0.67524,                0.28582,                 1.9987,                  1.682,                 2.2156,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.0968,                0.90504,                 1.2276,                0.50292,                0.50617,                0.48642,                0.26169,                 1.8459,                 1.9087,                 2.1057,               0.001934,               0.001934,               0.001934
                     12,                 1.1333,                0.95612,                 1.2603,                0.33369,                0.28395,                0.20538,                0.06792,                 2.9855,                 4.7066,                 3.1402,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.0612,                0.87906,                 1.2332,                0.23999,                0.35802,                0.22495,                0.10588,                 2.6271,                 5.7491,                 2.7843,              0.0019208,              0.0019208,              0.0019208
                     14,                  1.073,                0.82859,                 1.2095,                0.70441,                0.62963,                0.65299,                0.37105,                  1.598,                 1.8751,                 1.6969,              0.0019142,              0.0019142,              0.0019142
