                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1585,                 2.0029,                 1.3572,                0.77795,                0.85801,                0.90387,                0.61298,                0.93433,                 1.5715,                 1.2165,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.1491,                 1.4294,                 1.3137,                0.79902,                0.83673,                0.91767,                0.63007,                0.97096,                  1.377,                 1.1567,             0.00080376,             0.00080376,             0.00080376
                      3,                 1.2023,                 1.3304,                 1.3125,                0.88599,                0.81633,                0.93246,                0.60326,                 1.1075,                  1.335,                 1.2685,              0.0011909,              0.0011909,              0.0011909
                      4,                 1.2361,                 1.3632,                 1.3814,                0.72543,                0.80888,                0.83914,                 0.5411,                 1.1764,                 1.4664,                  1.343,              0.0015614,              0.0015614,              0.0015614
                      5,                 1.1609,                 1.2396,                 1.2713,                0.67013,                0.71429,                0.72102,                0.36913,                  1.502,                 1.9705,                 1.6884,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3241,                 1.3739,                 1.3563,                 0.6872,                0.89796,                0.84545,                0.49189,                  1.218,                 1.7134,                 1.4698,               0.001802,               0.001802,               0.001802
                      7,                 1.1368,                 1.2008,                 1.2834,                0.86297,                0.77125,                0.86666,                0.52993,                 1.3116,                 1.4154,                  1.612,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1232,                 1.1843,                 1.2968,                0.93232,                0.73469,                  0.917,                0.65816,                  1.002,                 1.0978,                 1.2349,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.167,                 1.0955,                 1.2701,                0.95369,                0.85714,                0.93852,                0.58133,                 1.2526,                 1.3353,                 1.4872,              0.0016832,              0.0016832,              0.0016832
                     10,                  1.169,                 1.1241,                 1.2725,                 0.9354,                0.95918,                 0.9651,                0.66101,                 1.0954,                 1.1691,                 1.2613,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2179,                 1.1304,                 1.3148,                0.93024,                0.81637,                0.93883,                0.61761,                 1.1976,                 1.2863,                  1.325,               0.001604,               0.001604,               0.001604
                     12,                 1.0852,                 1.0516,                 1.2539,                   0.86,                0.93878,                0.92919,                0.64599,                 1.0304,                 1.1355,                 1.3034,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0319,                0.94539,                 1.2268,                0.86777,                0.95918,                0.95998,                 0.6672,                  1.111,                 1.1175,                 1.3544,              0.0015248,              0.0015248,              0.0015248
