                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0489,                 2.6758,                 1.4695,                0.00333,                      1,                  0.995,                 0.6289,                0.68072,                 2.8217,                 1.1475,                0.00014,                0.00014,                0.00014
                      2,                0.94067,                 2.1465,                 1.3914,                0.00333,                      1,                  0.995,                0.62197,                0.77135,                 2.6545,                 1.2243,              0.0002703,              0.0002703,              0.0002703
                      3,                0.73936,                 1.3377,                 1.2153,                      1,                0.97975,                  0.995,                0.70905,                0.83403,                 2.1238,                 1.2718,             0.00036892,             0.00036892,             0.00036892
                      4,                 0.6924,                 1.2766,                 1.2396,                0.95975,                      1,                  0.995,                0.67901,                  1.128,                 1.8895,                 1.7321,             0.00043586,             0.00043586,             0.00043586
                      5,                0.81096,                 1.5316,                 1.2471,                0.97828,                      1,                  0.995,                0.61572,                 1.3042,                  1.833,                 1.9399,             0.00047112,             0.00047112,             0.00047112
                      6,                0.82221,                  1.433,                 1.3122,                0.97796,                      1,                  0.995,                0.53693,                 1.4634,                 1.8295,                 2.2607,              0.0004747,              0.0004747,              0.0004747
                      7,                0.89427,                  1.656,                 1.3446,                0.83029,                0.98172,                  0.895,                0.45918,                 1.4283,                 2.0731,                 2.2631,              0.0004466,              0.0004466,              0.0004466
                      8,                0.82638,                 1.5125,                 1.2982,                0.95261,                      1,                  0.995,                 0.6021,                 1.2965,                 2.0448,                 2.0256,             0.00038682,             0.00038682,             0.00038682
                      9,                0.80497,                  1.369,                 1.2995,                      1,                0.96879,                  0.995,                0.63379,                 1.1995,                 2.0148,                 1.7886,             0.00029536,             0.00029536,             0.00029536
                     10,                0.79943,                 1.2772,                 1.2594,                      1,                0.96879,                  0.995,                0.63379,                 1.1995,                 2.0148,                 1.7886,             0.00017222,             0.00017222,             0.00017222
