                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1449,                 1.4391,                 1.4523,                0.60857,                0.88297,                0.84077,                 0.3609,                 1.6243,                 7.5608,                 2.6218,             0.00065854,             0.00065854,             0.00065854
                      2,                 1.4892,                 1.5738,                 1.6796,                0.14286,                0.64198,                0.14522,                0.06215,                 1.7289,                 32.088,                 2.6565,              0.0013208,              0.0013208,              0.0013208
                      3,                 1.6634,                 1.5592,                 1.7943,                0.04918,                 0.4321,                 0.0313,                0.00748,                 3.1042,                 12.869,                 4.1631,              0.0019787,              0.0019787,              0.0019787
                      4,                 1.6067,                 1.5715,                 1.7214,                0.32765,                0.20988,                0.16338,                0.09409,                 2.3109,                 3.1755,                  2.721,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.4978,                 1.3877,                 1.6668,                0.16462,                0.06173,                0.04273,                0.01787,                  3.669,                 4.4142,                 4.0431,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.5723,                 1.3858,                 1.7072,                0.82421,                0.69462,                0.83857,                 0.5051,                  1.433,                 1.3858,                 1.7234,               0.001967,               0.001967,               0.001967
                      7,                 1.4957,                 1.3707,                 1.6332,                0.64013,                0.68079,                0.68301,                0.43701,                 1.4941,                 1.5359,                 1.9126,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.4181,                 1.2267,                 1.6134,                0.65712,                0.69136,                0.72924,                0.46554,                  1.296,                  1.575,                 1.5537,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.4334,                 1.2514,                 1.6154,                  0.849,                0.76356,                0.85956,                0.53365,                 1.2359,                 1.2576,                 1.5586,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.3463,                 1.1511,                 1.5789,                0.90771,                0.85004,                0.91809,                0.59641,                 1.1647,                  1.098,                 1.4828,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.3423,                 1.1418,                  1.543,                 0.9161,                0.87654,                0.95216,                0.65787,                  1.112,                0.84472,                 1.4626,               0.001934,               0.001934,               0.001934
                     12,                 1.3542,                 1.0901,                 1.5713,                0.80624,                0.87654,                0.91356,                0.60789,                 1.2095,                 1.0413,                 1.5218,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.2953,                  1.107,                 1.5087,                0.90093,                0.93827,                0.94165,                0.66472,                 1.0806,                0.90777,                 1.4385,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.3603,                 1.1658,                 1.5611,                0.92947,                0.81354,                0.92713,                 0.6459,                 1.1286,                0.85003,                 1.4127,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.3701,                 1.2169,                 1.5403,                0.84679,                0.90123,                 0.9393,                0.64989,                 1.0739,                0.85999,                 1.3658,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.2174,                0.99138,                 1.4482,                0.93963,                0.87654,                0.97018,                0.70092,                 1.0125,                0.77731,                  1.295,               0.001901,               0.001901,               0.001901
                     17,                 1.2273,                0.98809,                 1.4552,                0.93611,                 0.9044,                0.97456,                0.69826,                0.99775,                0.76662,                 1.3037,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.2632,                 1.0349,                 1.4955,                      1,                0.90045,                 0.9739,                0.72164,                0.97793,                0.68119,                 1.3007,              0.0018878,              0.0018878,              0.0018878
                     19,                   1.22,                0.96995,                 1.4649,                0.97317,                0.92593,                0.98723,                0.74549,                0.89208,                0.65022,                 1.2283,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.1313,                 0.9406,                 1.3953,                0.96268,                0.90123,                 0.9759,                0.70529,                0.93055,                0.70083,                 1.2244,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.1557,                 1.0241,                 1.3986,                0.94883,                0.91574,                0.98098,                0.71528,                 0.9456,                0.73411,                 1.2717,               0.001868,               0.001868,               0.001868
                     22,                 1.1993,                0.96634,                  1.447,                0.91838,                0.93827,                0.97656,                0.69996,                0.99635,                0.65374,                 1.2756,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.2169,                 1.0102,                 1.4584,                0.95889,                0.88889,                0.97016,                0.69098,                 1.0073,                0.71573,                 1.2814,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.1739,                   0.98,                 1.4282,                0.93895,                0.94932,                0.97239,                0.70896,                0.89109,                0.68733,                 1.2325,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.1353,                0.93439,                  1.391,                0.95902,                0.92593,                 0.9684,                0.73506,                0.88557,                0.61266,                  1.198,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.1596,                0.89199,                 1.4071,                0.92583,                0.93827,                0.96023,                0.75629,                0.84921,                0.60976,                 1.1765,               0.001835,               0.001835,               0.001835
                     27,                 1.0861,                0.84905,                 1.3374,                0.96087,                0.90949,                0.96717,                0.74455,                0.87041,                0.62873,                 1.1743,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.1285,                 0.8784,                 1.3975,                0.98745,                0.97118,                0.98947,                0.75962,                0.84627,                0.59116,                 1.1693,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.1785,                0.95534,                 1.4419,                0.90295,                0.98765,                0.98045,                0.72144,                0.90607,                0.57879,                  1.259,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.0464,                0.81885,                 1.3651,                0.93295,                0.96296,                0.98649,                0.75697,                0.85764,                0.57302,                   1.23,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.0588,                0.84227,                 1.3446,                0.95374,                0.95062,                0.97833,                0.74053,                0.90806,                0.56063,                 1.2501,               0.001802,               0.001802,               0.001802
